time,SteamPipelineOP.total_cost_actual,SteamPipelineOP.total_cost_optim_array,DIFF
2020/9/7 0:00,15746.34902,15484.67023,261.678789
2020/9/7 0:01,16349.43265,15484.67023,864.7624225
2020/9/7 0:02,15896.84849,15484.67023,412.1782609
2020/9/7 0:03,15965.47233,15101.92264,863.5496919
2020/9/7 0:04,16156.26029,15101.92264,1054.337652
2020/9/7 0:05,15792.02233,15101.92264,690.099696
2020/9/7 0:06,15888.41408,15101.92264,786.4914432
2020/9/7 0:07,15755.87761,15101.92264,653.9549716
2020/9/7 0:08,15954.69104,15101.92264,852.7684023
2020/9/7 0:09,15693.83371,15101.92264,591.9110672
2020/9/7 0:10,15677.61,15101.92264,575.6873597
2020/9/7 0:11,15769.27206,15319.66479,449.6072722
2020/9/7 0:12,15697.773,15319.66479,378.1082145
2020/9/7 0:13,15874.72165,15319.66479,555.0568671
2020/9/7 0:14,15965.81786,15319.66479,646.153076
2020/9/7 0:15,15884.74266,15319.66479,565.0778721
2020/9/7 0:16,15949.27451,15319.66479,629.6097228
2020/9/7 0:17,15634.0791,15319.66479,314.4143081
2020/9/7 0:18,15924.13561,15319.66479,604.4708273
2020/9/7 0:19,15910.39985,15300.48144,609.9184098
2020/9/7 0:20,15609.17337,15300.48144,308.6919244
2020/9/7 0:21,15557.92801,15300.48144,257.4465672
2020/9/7 0:22,15646.90259,15300.48144,346.4211471
2020/9/7 0:23,15627.67774,15300.48144,327.1962965
2020/9/7 0:24,15644.26254,15300.48144,343.7810935
2020/9/7 0:25,15909.6829,15300.48144,609.2014586
2020/9/7 0:26,15843.21775,15300.48144,542.7363022
2020/9/7 0:27,15429.74892,15548.63758,-118.8886545
2020/9/7 0:28,16030.80591,15548.63758,482.1683303
2020/9/7 0:29,15716.79801,15548.63758,168.1604289
2020/9/7 0:30,15759.8669,15548.63758,211.2293191
2020/9/7 0:31,15728.52708,15548.63758,179.8895017
2020/9/7 0:32,15622.75362,15548.63758,74.11604107
2020/9/7 0:33,15450.40944,15548.63758,-98.22813793
2020/9/7 0:34,15681.70663,15548.63758,133.0690498
2020/9/7 0:35,16034.32598,14733.6675,1300.658479
2020/9/7 0:36,15811.34739,14733.6675,1077.679891
2020/9/7 0:37,15370.31906,14733.6675,636.6515591
2020/9/7 0:38,15511.32164,14733.6675,777.6541401
2020/9/7 0:39,15283.33025,14733.6675,549.6627511
2020/9/7 0:40,15583.37792,14733.6675,849.7104207
2020/9/7 0:41,15814.6474,14733.6675,1080.979895
2020/9/7 0:42,15440.41432,14733.6675,706.7468208
2020/9/7 0:43,15520.68792,14827.90224,692.7856822
