,SteamPipelineOP.electricity_power_ext,SteamPipelineOP.electricity_price_ext
2020-09-01 00:00:00,-0.6875,0.4486
2020-09-01 00:01:00,-0.6325000000000001,0.4486
2020-09-01 00:02:00,-0.66,0.4486
2020-09-01 00:03:00,-0.66,0.4486
2020-09-01 00:04:00,-0.6875,0.4486
2020-09-01 00:05:00,-0.66,0.4486
2020-09-01 00:06:00,-0.6875,0.4486
2020-09-01 00:07:00,-0.8525,0.4486
2020-09-01 00:08:00,-0.66,0.4486
2020-09-01 00:09:00,-0.715,0.4486
2020-09-01 00:10:00,-0.6000000000000001,0.4486
2020-09-01 00:11:00,-0.42,0.4486
2020-09-01 00:12:00,-0.5225000000000001,0.4486
2020-09-01 00:13:00,-0.6900000000000001,0.4486
2020-09-01 00:14:00,-0.66,0.4486
2020-09-01 00:15:00,-1.0450000000000002,0.4486
2020-09-01 00:16:00,-1.4575000000000002,0.4486
2020-09-01 00:17:00,-1.1275000000000002,0.4486
2020-09-01 00:18:00,-1.32,0.4486
2020-09-01 00:19:00,-1.1400000000000001,0.4486
2020-09-01 00:20:00,-0.8250000000000001,0.4486
2020-09-01 00:21:00,-0.9900000000000001,0.4486
2020-09-01 00:22:00,-0.41250000000000003,0.4486
2020-09-01 00:23:00,-0.9900000000000001,0.4486
2020-09-01 00:24:00,-0.87,0.4486
2020-09-01 00:25:00,-0.5700000000000001,0.4486
2020-09-01 00:26:00,-1.155,0.4486
2020-09-01 00:27:00,-0.6875,0.4486
2020-09-01 00:28:00,-1.1275000000000002,0.4486
2020-09-01 00:29:00,-1.2375,0.4486
2020-09-01 00:30:00,-0.9900000000000001,0.4486
2020-09-01 00:31:00,-1.4025,0.4486
2020-09-01 00:32:00,-1.1400000000000001,0.4486
2020-09-01 00:33:00,-1.32,0.4486
2020-09-01 00:34:00,-1.3475000000000001,0.4486
2020-09-01 00:35:00,-1.0450000000000002,0.4486
2020-09-01 00:36:00,-1.54,0.4486
2020-09-01 00:37:00,-1.3475000000000001,0.4486
2020-09-01 00:38:00,-0.42,0.4486
2020-09-01 00:39:00,-0.7425,0.4486
2020-09-01 00:40:00,-0.6325000000000001,0.4486
2020-09-01 00:41:00,-0.63,0.4486
2020-09-01 00:42:00,-0.66,0.4486
2020-09-01 00:43:00,-0.33,0.4486
2020-09-01 00:44:00,-0.6000000000000001,0.4486
2020-09-01 00:45:00,-0.66,0.4486
2020-09-01 00:46:00,-0.6325000000000001,0.4486
2020-09-01 00:47:00,-1.0450000000000002,0.4486
2020-09-01 00:48:00,-0.77,0.4486
2020-09-01 00:49:00,-0.9625,0.4486
2020-09-01 00:50:00,-1.4025,0.4486
2020-09-01 00:51:00,-1.155,0.4486
2020-09-01 00:52:00,-1.4575000000000002,0.4486
2020-09-01 00:53:00,-1.2100000000000002,0.4486
2020-09-01 00:54:00,-1.2925000000000002,0.4486
2020-09-01 00:55:00,-1.4700000000000002,0.4486
2020-09-01 00:56:00,-0.9,0.4486
2020-09-01 00:57:00,-1.0175,0.4486
2020-09-01 00:58:00,-1.4575000000000002,0.4486
2020-09-01 00:59:00,-0.935,0.4486
2020-09-01 01:00:00,-0.9075000000000001,0.4486
2020-09-01 01:01:00,-0.7975,0.4486
2020-09-01 01:02:00,-0.7425,0.4486
2020-09-01 01:03:00,-0.6325000000000001,0.4486
2020-09-01 01:04:00,-0.66,0.4486
2020-09-01 01:05:00,-0.66,0.4486
2020-09-01 01:06:00,-0.66,0.4486
2020-09-01 01:07:00,-0.66,0.4486
2020-09-01 01:08:00,-0.6875,0.4486
2020-09-01 01:09:00,-0.81,0.4486
2020-09-01 01:10:00,-0.6900000000000001,0.4486
2020-09-01 01:11:00,-0.9075000000000001,0.4486
2020-09-01 01:12:00,-0.7975,0.4486
2020-09-01 01:13:00,-0.792,0.4486
2020-09-01 01:14:00,-1.05,0.4486
2020-09-01 01:15:00,-0.7590000000000001,0.4486
2020-09-01 01:16:00,-0.81,0.4486
2020-09-01 01:17:00,-0.9600000000000001,0.4486
2020-09-01 01:18:00,-1.0725,0.4486
2020-09-01 01:19:00,-0.66,0.4486
2020-09-01 01:20:00,-1.1880000000000002,0.4486
2020-09-01 01:21:00,-1.35,0.4486
2020-09-01 01:22:00,-1.4700000000000002,0.4486
2020-09-01 01:23:00,-1.5125,0.4486
2020-09-01 01:24:00,-1.4575000000000002,0.4486
2020-09-01 01:25:00,-1.6499999999999997,0.4486
2020-09-01 01:26:00,-1.3800000000000001,0.4486
2020-09-01 01:27:00,-1.1825,0.4486
2020-09-01 01:28:00,-1.2925000000000002,0.4486
2020-09-01 01:29:00,-1.3475000000000001,0.4486
2020-09-01 01:30:00,-1.2375,0.4486
2020-09-01 01:31:00,-1.11,0.4486
2020-09-01 01:32:00,-0.77,0.4486
2020-09-01 01:33:00,-0.9,0.4486
2020-09-01 01:34:00,-1.155,0.4486
2020-09-01 01:35:00,-1.1,0.4486
2020-09-01 01:36:00,-1.2100000000000002,0.4486
2020-09-01 01:37:00,-1.59,0.4486
2020-09-01 01:38:00,-1.4025,0.4486
2020-09-01 01:39:00,-1.4400000000000002,0.4486
2020-09-01 01:40:00,-1.6499999999999997,0.4486
2020-09-01 01:41:00,-1.7699999999999998,0.4486
2020-09-01 01:42:00,-1.71,0.4486
2020-09-01 01:43:00,-1.4025,0.4486
2020-09-01 01:44:00,-1.5300000000000002,0.4486
2020-09-01 01:45:00,-1.4100000000000001,0.4486
2020-09-01 01:46:00,-1.6499999999999997,0.4486
2020-09-01 01:47:00,-1.5300000000000002,0.4486
2020-09-01 01:48:00,-1.4700000000000002,0.4486
2020-09-01 01:49:00,-1.5675,0.4486
2020-09-01 01:50:00,-1.5675,0.4486
2020-09-01 01:51:00,-1.6499999999999997,0.4486
2020-09-01 01:52:00,-1.4575000000000002,0.4486
2020-09-01 01:53:00,-1.485,0.4486
2020-09-01 01:54:00,-1.29,0.4486
2020-09-01 01:55:00,-1.4520000000000002,0.4486
2020-09-01 01:56:00,-1.32,0.4486
2020-09-01 01:57:00,-0.9075000000000001,0.4486
2020-09-01 01:58:00,-1.2925000000000002,0.4486
2020-09-01 01:59:00,-1.1825,0.4486
2020-09-01 02:00:00,-0.88,0.4486
2020-09-01 02:01:00,-0.6900000000000001,0.4486
2020-09-01 02:02:00,-0.4675,0.4486
2020-09-01 02:03:00,-0.9900000000000001,0.4486
2020-09-01 02:04:00,-1.1825,0.4486
2020-09-01 02:05:00,-1.1880000000000002,0.4486
2020-09-01 02:06:00,-1.32,0.4486
2020-09-01 02:07:00,-1.21,0.4486
2020-09-01 02:08:00,-0.7975,0.4486
2020-09-01 02:09:00,-0.9900000000000001,0.4486
2020-09-01 02:10:00,-1.35,0.4486
2020-09-01 02:11:00,-0.8250000000000001,0.4486
2020-09-01 02:12:00,-1.2925000000000002,0.4486
2020-09-01 02:13:00,-1.2375,0.4486
2020-09-01 02:14:00,-0.7200000000000001,0.4486
2020-09-01 02:15:00,-1.0175,0.4486
2020-09-01 02:16:00,-0.715,0.4486
2020-09-01 02:17:00,-0.8525,0.4486
2020-09-01 02:18:00,-1.2000000000000002,0.4486
2020-09-01 02:19:00,-1.32,0.4486
2020-09-01 02:20:00,-0.99,0.4486
2020-09-01 02:21:00,-0.7425,0.4486
2020-09-01 02:22:00,-0.66,0.4486
2020-09-01 02:23:00,-0.66,0.4486
2020-09-01 02:24:00,-0.6000000000000001,0.4486
2020-09-01 02:25:00,-0.5940000000000001,0.4486
2020-09-01 02:26:00,-0.9900000000000001,0.4486
2020-09-01 02:27:00,-0.87,0.4486
2020-09-01 02:28:00,-0.924,0.4486
2020-09-01 02:29:00,-0.7975,0.4486
2020-09-01 02:30:00,-0.63,0.4486
2020-09-01 02:31:00,-0.6875,0.4486
2020-09-01 02:32:00,-0.4675,0.4486
2020-09-01 02:33:00,-0.45,0.4486
